source,user_id,condition_first,condition_second,mental_demand_first,mental_demand_second,mental_demand_diff_second_minus_first,physical_demand_first,physical_demand_second,physical_demand_diff_second_minus_first,temporal_demand_first,temporal_demand_second,temporal_demand_diff_second_minus_first,frustration_first,frustration_second,frustration_diff_second_minus_first,effort_first,effort_second,effort_diff_second_minus_first,performance_first,performance_second,performance_diff_second_minus_first,confidence_first,confidence_second,confidence_diff_second_minus_first,evidence_findability_first,evidence_findability_second,evidence_findability_diff_second_minus_first,step_pinpointing_first,step_pinpointing_second,step_pinpointing_diff_second_minus_first,actionable_recommendations_first,actionable_recommendations_second,actionable_recommendations_diff_second_minus_first,divergence_understanding_first,divergence_understanding_second,divergence_understanding_diff_second_minus_first,comparison_efficiency_first,comparison_efficiency_second,comparison_efficiency_diff_second_minus_first,nasa_workload_5d_first,nasa_workload_5d_second,nasa_workload_5d_diff_second_minus_first,less_manual_log_search_first,less_manual_log_search_second,less_manual_log_search_diff_second_minus_first,reasoning_panel_helpful_first,reasoning_panel_helpful_second,reasoning_panel_helpful_diff_second_minus_first
dag,2,Condition B,Condition A,7,6,-1,3,4,1,3,2,-1,1,1,0,7,6,-1,1,7,6,6,5,-1,3,5,2,5,5,0,5.0,2.0,-3.0,1.0,1.0,0.0,1.0,4.0,3.0,5.166666666666667,3.8333333333333335,-1.3333333333333335,,,,,,
dag,4,Condition A,Condition B,2,1,-1,2,1,-1,3,1,-2,1,1,0,1,1,0,6,8,2,8,7,-1,6,7,1,8,7,-1,8.0,7.0,-1.0,9.0,7.0,-2.0,9.0,7.0,-2.0,2.3333333333333335,1.3333333333333333,-1.0000000000000002,,,,,,
dag,6,Condition B,Condition A,6,2,-4,1,1,0,5,5,0,1,1,0,2,2,0,2,5,3,3,5,2,7,5,-2,2,4,2,7.0,5.0,-2.0,1.0,5.0,4.0,7.0,7.0,0.0,4.0,2.8333333333333335,-1.1666666666666665,,,,,,
dag,8,Condition B,Condition A,8,5,-3,1,1,0,2,1,-1,1,1,0,1,5,4,9,9,0,9,9,0,5,5,0,3,4,1,7.0,8.0,1.0,3.0,6.0,3.0,4.0,4.0,0.0,2.5,2.5,0.0,,,,,,
dag,10,Condition A,Condition B,5,3,-2,2,2,0,5,3,-2,2,1,-1,4,4,0,8,9,1,8,9,1,9,10,1,9,9,0,7.0,7.0,0.0,9.0,6.0,-3.0,9.0,8.0,-1.0,3.5,2.5,-1.0,,,,,,
dag,12,Condition B,Condition A,5,3,-2,3,3,0,3,3,0,1,1,0,2,2,0,7,3,-4,5,7,2,7,8,1,4,5,1,7.0,8.0,1.0,9.0,9.0,0.0,9.0,9.0,0.0,3.0,3.3333333333333335,0.3333333333333335,,,,,,
evidence,1,Condition A,Condition C,3,6,3,4,8,4,1,5,4,1,3,2,3,4,1,8,6,-2,6,3,-3,6,3,-3,4,4,0,,,,,,,,,,2.5,5.166666666666667,2.666666666666667,7.0,3.0,-4.0,5.0,5.0,0.0
evidence,3,Condition A,Condition C,3,1,-2,1,1,0,1,1,0,1,1,0,2,3,1,3,5,2,4,5,1,8,4,-4,9,8,-1,,,,,,,,,,2.6666666666666665,2.1666666666666665,-0.5,6.0,2.0,-4.0,8.0,8.0,0.0
evidence,5,Condition C,Condition A,6,4,-2,3,3,0,3,3,0,2,3,1,6,5,-1,8,8,0,8,8,0,7,8,1,5,6,1,,,,,,,,,,3.8333333333333335,3.5,-0.3333333333333335,8.0,8.0,0.0,8.0,7.0,-1.0
evidence,7,Condition A,Condition C,3,8,5,1,6,5,2,5,3,1,7,6,1,6,5,10,3,-7,9,6,-3,9,4,-5,10,3,-7,,,,,,,,,,1.5,6.666666666666667,5.166666666666667,9.0,2.0,-7.0,10.0,1.0,-9.0
evidence,9,Condition C,Condition A,7,3,-4,1,1,0,7,3,-4,6,2,-4,5,3,-2,3,7,4,5,7,2,3,5,2,3,9,6,,,,,,,,,,5.666666666666667,2.6666666666666665,-3.0000000000000004,8.0,9.0,1.0,6.0,9.0,3.0
evidence,11,Condition A,Condition C,4,4,0,2,1,-1,3,1,-2,2,1,-1,3,4,1,10,9,-1,6,7,1,8,3,-5,5,4,-1,,,,,,,,,,2.5,2.1666666666666665,-0.3333333333333335,8.0,3.0,-5.0,9.0,5.0,-4.0
