metric,n_pairs,mean_first,mean_second,mean_diff_second_minus_first,mean_diff_better_direction,improved_count,worsened_count,same_count,cohen_dz_better_direction,wilcoxon_p_two_sided,wilcoxon_p_second_better_one_sided
actionable_recommendations,6,6.833333333333333,6.166666666666667,-0.6666666666666666,-0.6666666666666666,2,3,1,-0.408248290463863,0.5,0.875
comparison_efficiency,6,6.5,6.5,0.0,0.0,1,2,3,0.0,1.0,0.625
confidence,12,6.416666666666667,6.5,0.08333333333333333,0.08333333333333333,6,4,2,0.046773374988302266,0.76953125,0.384765625
divergence_understanding,6,5.333333333333333,5.666666666666667,0.3333333333333333,0.3333333333333333,2,2,2,0.12198750911856665,0.75,0.375
effort,12,3.0833333333333335,3.75,0.6666666666666666,-0.6666666666666666,3,5,4,-0.3308364192745531,0.4609375,0.828125
evidence_findability,12,6.5,5.583333333333333,-0.9166666666666666,-0.9166666666666666,6,5,1,-0.33797827867405245,0.3544921875,0.8310546875
frustration,12,1.6666666666666667,1.9166666666666667,0.25,-0.25,3,3,6,-0.10863965715748618,0.84375,0.640625
less_manual_log_search,6,7.666666666666667,4.5,-3.1666666666666665,-3.1666666666666665,1,4,1,-1.0346889665082921,0.125,0.96875
mental_demand,12,4.916666666666667,3.8333333333333335,-1.0833333333333333,1.0833333333333333,9,2,1,0.40445860755275415,0.2216796875,0.11083984375
nasa_workload_5d,12,3.263888888888889,3.222222222222222,-0.041666666666666706,0.041666666666666706,8,3,1,0.019841894753313643,0.36328125,0.181640625
performance,12,6.25,6.583333333333333,0.3333333333333333,0.3333333333333333,6,4,2,0.09388345202485134,0.6953125,0.34765625
physical_demand,12,2.0,2.6666666666666665,0.6666666666666666,-0.6666666666666666,2,3,7,-0.35557950110937975,0.5,0.875
reasoning_panel_helpful,6,7.666666666666667,5.833333333333333,-1.8333333333333333,-1.8333333333333333,1,3,2,-0.43992961689149557,0.375,0.875
step_pinpointing,12,5.583333333333333,5.666666666666667,0.08333333333333333,0.08333333333333333,5,4,3,0.02836898890959986,0.796875,0.3984375
temporal_demand,12,3.1666666666666665,2.75,-0.4166666666666667,0.4166666666666667,6,2,4,0.18997167906070725,0.5859375,0.29296875
